Day,pnl_absolute,cum_pnl,roi,returns,pnl_absolute fro excel sheet ,difference
2023-02-10,165,-11377.5,-7.58,-7.585,2058.75,1893.75
2023-02-13,-115,-11492.5,-7.66,-7.66166666666667,5022.5,5137.5
2023-02-14,-298.75,-11791.25,-7.86,-7.86083333333333,-7813.75,-7515
2023-02-15,1212.5,-10578.75,-7.05,-7.0525,3015,1802.5
2023-02-16,-1326.25,-11905,-7.94,-7.93666666666667,3645,4971.25
2023-02-17,-220,-12125,-8.08,-8.08333333333333,716.25,936.25
2023-02-20,-697.5,-12822.5,-8.55,-8.54833333333333,1216.25,1913.75
2023-02-21,800,-12022.5,-8.02,-8.015,-7240,-8040
2023-02-22,-1878.75,-13901.25,-9.27,-9.2675,8010,9888.75
2023-02-23,3850,-10051.25,-6.7,-6.70083333333333,-7248.75,-11098.75
2023-02-24,28.75,-10022.5,-6.68,-6.68166666666667,7342.5,7313.75
2023-02-27,-705,-10727.5,-7.15,-7.15166666666667,-9696.25,-8991.25
2023-02-28,661.25,-10066.25,-6.71,-6.71083333333333,5760,5098.75
2023-03-01,-441.25,-10507.5,-7,-7.005,-3731.25,-3290
2023-03-02,-1375,-11882.5,-7.92,-7.92166666666667,4688.75,6063.75
2023-03-03,-2135,-14017.5,-9.35,-9.345,-9137.5,-7002.5
2023-03-06,233.75,-13783.75,-9.19,-9.18916666666667,7012.5,6778.75
2023-03-08,-823.75,-14607.5,-9.74,-9.73833333333333,-7957.5,-7133.75
2023-03-09,-1356.25,-15963.75,-10.64,-10.6425,6757.5,8113.75
2023-03-10,648.75,-15315,-10.21,-10.21,-2055,-2703.75
2023-03-13,-2040,-17355,-11.57,-11.57,12952.5,14992.5
2023-03-14,257.5,-17097.5,-11.4,-11.3983333333333,-17113.75,-17371.25
2023-03-15,-2006.25,-19103.75,-12.74,-12.7358333333333,8441.25,10447.5
2023-03-16,-2361.25,-21465,-14.31,-14.31,-15316.25,-12955
2023-03-17,293.75,-21171.25,-14.11,-14.1141666666667,3067.5,2773.75
2023-03-20,183.75,-20987.5,-13.99,-13.9916666666667,2275,2091.25
2023-03-21,-480,-21467.5,-14.31,-14.3116666666667,-6423.75,-5943.75
2023-03-22,282.5,-21185,-14.12,-14.1233333333333,5822.5,5540
2023-03-23,-1788.75,-22973.75,-15.32,-15.3158333333333,-6095,-4306.25
2023-03-24,323.75,-22650,-15.1,-15.1,5495,5171.25
2023-03-27,235,-22415,-14.94,-14.9433333333333,-4377.5,-4612.5
2023-03-28,880,-21535,-14.36,-14.3566666666667,2667.5,1787.5
2023-03-29,3475,-18060,-12.04,-12.04,1616.25,-1858.75
