,Unnamed: 0,INST,EN_TIME,EN_ID,EN_TT,EN_Q,EN_PRICE,EN_CODE,EN_VAR,EX_TIME,EX_ID,EX_TT,EX_Q,EX_PRICE,EX_CODE,EX_VAR,P&L,ROI,P&L %,ROI %,Equity Curve,Drawdown %
103,103,NSE_FO:NIFTY25JAN2318250CE [LOCAL],2023-01-20 10:47:00+05:30,2279c9c749f347618736b98a45d0ab73,SELL,50,57.7,INTRADAY,MARKET,2023-01-20 15:10:00+05:30,62080359660348b7890538fdf2bf7930,BUY,50,24.5,INTRADAY,MARKET,1660.0,4810.0,57.54,9.62,54810.0,0.0
104,104,NSE_FO:NIFTY25JAN2318100CE [LOCAL],2023-01-23 09:17:00+05:30,c40ca4d61ada4fa5bb9f24284cd5aebd,SELL,50,91.95,INTRADAY,MARKET,2023-01-23 09:35:00+05:30,7029f16249074f72b2a406a88558c34a,BUY,50,106.95,INTRADAY,MARKET,-750.0,4060.0,-16.31,8.12,54060.0,-1.37
105,105,NSE_FO:NIFTY25JAN2318100PE [LOCAL],2023-01-23 09:17:00+05:30,a45b1937a92a4a46b9fa3eb8dabb3688,SELL,50,73.45,INTRADAY,MARKET,2023-01-23 15:10:00+05:30,7d561ce0b0304277a82d75b6228a0f94,BUY,50,40.15,INTRADAY,MARKET,1665.0,5725.0,45.34,11.45,55725.0,0.0
106,106,NSE_FO:NIFTY25JAN2318200CE [LOCAL],2023-01-23 09:35:00+05:30,869b046f6c654bda8c1188fd0bb3b9b7,SELL,50,54.15,INTRADAY,MARKET,2023-01-23 15:10:00+05:30,8626b42eddf749b9bb6d62cd741ed031,BUY,50,41.05,INTRADAY,MARKET,655.0,6380.0,24.19,12.76,56380.0,0.0
107,107,NSE_FO:NIFTY25JAN2318200PE [LOCAL],2023-01-24 09:17:00+05:30,37fa4165902244b8a81397574fbdf223,SELL,50,60.4,INTRADAY,MARKET,2023-01-24 10:10:00+05:30,16fe595dab3a406ca95ecb6a6953fee7,BUY,50,75.8,INTRADAY,MARKET,-770.0,5610.0,-25.5,11.22,55610.0,-1.37
108,108,NSE_FO:NIFTY25JAN2318100PE [LOCAL],2023-01-24 10:10:00+05:30,bb5811dde3fc4c3892c0c918480ea347,SELL,50,32.0,INTRADAY,MARKET,2023-01-24 15:10:00+05:30,d212195ab9154e038b63bd1f62350e90,BUY,50,29.55,INTRADAY,MARKET,122.5,5732.5,7.66,11.46,55732.5,-1.15
109,109,NSE_FO:NIFTY25JAN2318150CE [LOCAL],2023-01-24 13:44:00+05:30,1c861876d4864540b314493f969b6ccf,SELL,50,36.85,INTRADAY,MARKET,2023-01-24 15:10:00+05:30,115b4ce55496437b8d2ad752097e48a2,BUY,50,36.7,INTRADAY,MARKET,7.5,5740.0,0.41,11.48,55740.0,-1.14
110,110,NSE_FO:NIFTY25JAN2318200CE [LOCAL],2023-01-24 09:17:00+05:30,cc30b1d86cdd4ac797a6a71ede0f81b6,SELL,50,50.75,INTRADAY,MARKET,2023-01-24 15:10:00+05:30,7097528eddcc4544946cb9cccf34cdcb,BUY,50,19.4,INTRADAY,MARKET,1567.5,7307.5,61.77,14.62,57307.5,0.0
111,111,NSE_FO:NIFTY25JAN2318100PE [LOCAL],2023-01-25 09:17:00+05:30,5cfc75fbf801403ca1775d1bf46f6ac9,SELL,50,50.45,INTRADAY,MARKET,2023-01-25 09:20:00+05:30,a776f1443777427c82ab28dbf511aaee,BUY,50,56.7,INTRADAY,MARKET,-312.5,6995.0,-12.39,13.99,56995.0,-0.55
112,112,NSE_FO:NIFTY25JAN2318050PE [LOCAL],2023-01-25 09:20:00+05:30,b779594426f346ffbeac441a94569e32,SELL,50,30.45,INTRADAY,MARKET,2023-01-25 09:45:00+05:30,4c0b57a8155e4603b305ac31a4739b8b,BUY,50,52.7,INTRADAY,MARKET,-1112.5,5882.5,-73.07,11.77,55882.5,-2.49
