,Unnamed: 0,id,strategy,instrument_str,entry_timestamp,entry_transaction_type,entry_quantity,entry_price,exit_timestamp,exit_transaction_type,exit_quantity,exit_price,pnl_absolute,pnl_percentage,pnl_cumulative_absolute,pnl_cumulative_percentage,equity_curve,drawdown_percentage
10310,5283,1432636,3092,NSE_FO:BANKNIFTY29JUL2134600PE,2021-07-28 09:25:00,1,25,185.05,2021-07-28 10:46:00,0.0,25.0,528.15,-8577.5,-185.41,248113.75,145.1,419113.75,-2.37
10311,5284,1432635,3092,NSE_FO:BANKNIFTY29JUL2134600CE,2021-07-28 09:25:00,1,25,223.0,2021-07-28 10:46:00,0.0,25.0,112.15,2771.25,49.71,256691.25,150.11,427691.25,-0.37
10312,5285,1432634,3092,NSE_FO:BANKNIFTY29JUL2135100PE,2021-07-27 09:25:00,1,25,230.35,2021-07-27 15:09:00,0.0,25.0,405.45,-4377.5,-76.01,253920.0,148.49,424920.0,-1.02
10313,5286,1432633,3092,NSE_FO:BANKNIFTY29JUL2135100CE,2021-07-27 09:25:00,1,25,247.65,2021-07-27 15:09:00,0.0,25.0,101.8,3646.25,58.89,258297.5,151.05,429297.5,0.0
10314,5287,1432632,3092,NSE_FO:BANKNIFTY29JUL2134900PE,2021-07-26 09:25:00,1,25,289.35,2021-07-26 15:09:00,0.0,25.0,223.55,1645.0,22.74,254651.25,148.92,425651.25,-0.68
10315,5288,1432631,3092,NSE_FO:BANKNIFTY29JUL2134900CE,2021-07-26 09:25:00,1,25,273.1,2021-07-26 15:09:00,0.0,25.0,292.1,-475.0,-6.96,253006.25,147.96,424006.25,-1.06
10316,5289,1432630,3092,NSE_FO:BANKNIFTY29JUL2134800PE,2021-07-23 09:25:00,1,25,281.05,2021-07-23 15:09:00,0.0,25.0,172.9,2703.75,38.48,253481.25,148.23,424481.25,-0.95
10317,5290,1432629,3092,NSE_FO:BANKNIFTY29JUL2134800CE,2021-07-23 09:25:00,1,25,345.2,2021-07-23 15:09:00,0.0,25.0,459.3,-2852.5,-33.05,250777.5,146.65,421777.5,-1.58
10318,5291,1432628,3092,NSE_FO:BANKNIFTY22JUL2134700PE,2021-07-22 15:06:00,1,25,23.0,2021-07-22 15:09:00,0.0,25.0,30.3,-182.5,-31.74,253630.0,148.32,424630.0,-0.92
10319,5292,1432627,3092,NSE_FO:BANKNIFTY22JUL2134700CE,2021-07-22 15:06:00,1,25,10.25,2021-07-22 15:09:00,0.0,25.0,3.55,167.5,65.37,253812.5,148.43,424812.5,-0.87
10320,5293,1432626,3092,NSE_FO:BANKNIFTY22JUL2134600PE,2021-07-22 14:53:00,1,25,29.75,2021-07-22 15:06:00,0.0,25.0,1.15,715.0,96.13,253645.0,148.33,424645.0,-0.91
10321,5294,1432625,3092,NSE_FO:BANKNIFTY22JUL2134600CE,2021-07-22 14:53:00,1,25,26.65,2021-07-22 15:06:00,0.0,25.0,90.2,-1588.75,-238.46,252930.0,147.91,423930.0,-1.08
10322,5295,1432624,3092,NSE_FO:BANKNIFTY22JUL2134600PE,2021-07-22 14:44:00,1,25,33.35,2021-07-22 14:53:00,0.0,25.0,29.75,90.0,10.79,254518.75,148.84,425518.75,-0.71
10323,5296,1432623,3092,NSE_FO:BANKNIFTY22JUL2134600CE,2021-07-22 14:44:00,1,25,38.6,2021-07-22 14:53:00,0.0,25.0,26.65,298.75,30.96,254428.75,148.79,425428.75,-0.73
10324,5297,1432622,3092,NSE_FO:BANKNIFTY22JUL2134600PE,2021-07-22 14:36:00,1,25,35.55,2021-07-22 14:44:00,0.0,25.0,33.35,55.0,6.19,254130.0,148.61,425130.0,-0.8
10325,5298,1432621,3092,NSE_FO:BANKNIFTY22JUL2134600CE,2021-07-22 14:36:00,1,25,51.85,2021-07-22 14:44:00,0.0,25.0,38.6,331.25,25.55,254075.0,148.58,425075.0,-0.81
10326,5299,1432620,3092,NSE_FO:BANKNIFTY22JUL2134600PE,2021-07-22 14:21:00,1,25,35.4,2021-07-22 14:36:00,0.0,25.0,35.55,-3.75,-0.42,253743.75,148.39,424743.75,-0.89
10327,5300,1432619,3092,NSE_FO:BANKNIFTY22JUL2134600CE,2021-07-22 14:21:00,1,25,74.25,2021-07-22 14:36:00,0.0,25.0,51.85,560.0,30.17,253747.5,148.39,424747.5,-0.89
10328,5301,1432618,3092,NSE_FO:BANKNIFTY22JUL2134800PE,2021-07-22 14:08:00,1,25,45.0,2021-07-22 14:21:00,0.0,25.0,189.85,-3621.25,-321.89,253187.5,148.06,424187.5,-1.02
10329,5302,1432617,3092,NSE_FO:BANKNIFTY22JUL2134800CE,2021-07-22 14:08:00,1,25,53.4,2021-07-22 14:21:00,0.0,25.0,10.65,1068.75,80.06,256808.75,150.18,427808.75,-0.18
10330,5303,1432616,3092,NSE_FO:BANKNIFTY22JUL2134800PE,2021-07-22 13:22:00,1,25,44.4,2021-07-22 14:08:00,0.0,25.0,45.0,-15.0,-1.35,255740.0,149.56,426740.0,-0.42
10331,5304,1432615,3092,NSE_FO:BANKNIFTY22JUL2134800CE,2021-07-22 13:22:00,1,25,80.0,2021-07-22 14:08:00,0.0,25.0,53.4,665.0,33.25,255755.0,149.56,426755.0,-0.42
10332,5305,1432614,3092,NSE_FO:BANKNIFTY22JUL2134900PE,2021-07-22 12:26:00,1,25,98.15,2021-07-22 13:22:00,0.0,25.0,100.25,-52.5,-2.14,255090.0,149.18,426090.0,-0.58
10333,5306,1432613,3092,NSE_FO:BANKNIFTY22JUL2134900CE,2021-07-22 12:26:00,1,25,72.95,2021-07-22 13:22:00,0.0,25.0,36.35,915.0,50.17,255142.5,149.21,426142.5,-0.56
10334,5307,1432612,3092,NSE_FO:BANKNIFTY22JUL2134800PE,2021-07-22 09:25:00,1,25,102.5,2021-07-22 12:26:00,0.0,25.0,55.1,1185.0,46.24,254227.5,148.67,425227.5,-0.78
10335,5308,1432611,3092,NSE_FO:BANKNIFTY22JUL2134800CE,2021-07-22 09:25:00,1,25,128.65,2021-07-22 12:26:00,0.0,25.0,130.0,-33.75,-1.05,253042.5,147.98,424042.5,-1.05
10336,5309,1432610,3092,NSE_FO:BANKNIFTY22JUL2134700PE,2021-07-20 09:25:00,1,25,161.85,2021-07-20 15:09:00,0.0,25.0,341.25,-4485.0,-110.84,253076.25,148.0,424076.25,-1.05
10337,5310,1432609,3092,NSE_FO:BANKNIFTY22JUL2134700CE,2021-07-20 09:25:00,1,25,262.15,2021-07-20 15:09:00,0.0,25.0,70.3,4796.25,73.18,257561.25,150.62,428561.25,0.0
10338,5311,1432608,3092,NSE_FO:BANKNIFTY22JUL2135200PE,2021-07-19 09:25:00,1,25,205.65,2021-07-19 15:09:00,0.0,25.0,292.65,-2175.0,-42.3,252765.0,147.82,423765.0,-0.51
10339,5312,1432607,3092,NSE_FO:BANKNIFTY22JUL2135200CE,2021-07-19 09:25:00,1,25,290.75,2021-07-19 15:09:00,0.0,25.0,176.45,2857.5,39.31,254940.0,149.09,425940.0,0.0
10340,5313,1432606,3092,NSE_FO:BANKNIFTY22JUL2135900PE,2021-07-16 09:25:00,1,25,309.85,2021-07-16 15:09:00,0.0,25.0,316.35,-162.5,-2.1,252082.5,147.42,423082.5,-0.04
10341,5314,1432605,3092,NSE_FO:BANKNIFTY22JUL2135900CE,2021-07-16 09:25:00,1,25,310.95,2021-07-16 15:09:00,0.0,25.0,213.6,2433.75,31.31,252245.0,147.51,423245.0,0.0
10342,5315,1432604,3092,NSE_FO:BANKNIFTY15JUL2135900PE,2021-07-15 15:05:00,1,25,7.35,2021-07-15 15:09:00,0.0,25.0,4.35,75.0,40.82,249811.25,146.09,420811.25,-0.32
10343,5316,1432603,3092,NSE_FO:BANKNIFTY15JUL2135900CE,2021-07-15 15:05:00,1,25,23.5,2021-07-15 15:09:00,0.0,25.0,17.9,140.0,23.83,249736.25,146.04,420736.25,-0.34
10344,5317,1432602,3092,NSE_FO:BANKNIFTY15JUL2135900PE,2021-07-15 15:02:00,1,25,43.0,2021-07-15 15:05:00,0.0,25.0,7.35,891.25,82.91,249596.25,145.96,420596.25,-0.37
10345,5318,1432601,3092,NSE_FO:BANKNIFTY15JUL2135900CE,2021-07-15 15:02:00,1,25,9.4,2021-07-15 15:05:00,0.0,25.0,23.5,-352.5,-150.0,248705.0,145.44,419705.0,-0.58
10346,5319,1432600,3092,NSE_FO:BANKNIFTY15JUL2135900PE,2021-07-15 14:59:00,1,25,56.7,2021-07-15 15:02:00,0.0,25.0,43.0,342.5,24.16,249057.5,145.65,420057.5,-0.5
10347,5320,1432599,3092,NSE_FO:BANKNIFTY15JUL2135900CE,2021-07-15 14:59:00,1,25,8.7,2021-07-15 15:02:00,0.0,25.0,9.4,-17.5,-8.05,248715.0,145.45,419715.0,-0.58
10348,5321,1432598,3092,NSE_FO:BANKNIFTY15JUL2135900PE,2021-07-15 14:41:00,1,25,39.9,2021-07-15 14:59:00,0.0,25.0,56.7,-420.0,-42.11,248732.5,145.46,419732.5,-0.57
10349,5322,1432597,3092,NSE_FO:BANKNIFTY15JUL2135900CE,2021-07-15 14:41:00,1,25,40.95,2021-07-15 14:59:00,0.0,25.0,8.7,806.25,78.75,249152.5,145.7,420152.5,-0.47
10350,5323,1432596,3092,NSE_FO:BANKNIFTY15JUL2135900PE,2021-07-15 14:23:00,1,25,49.25,2021-07-15 14:41:00,0.0,25.0,39.9,233.75,18.98,248346.25,145.23,419346.25,-0.67
10351,5324,1432595,3092,NSE_FO:BANKNIFTY15JUL2135900CE,2021-07-15 14:23:00,1,25,52.8,2021-07-15 14:41:00,0.0,25.0,40.95,296.25,22.44,248112.5,145.1,419112.5,-0.72
