,id,strategy,instrument_str,entry_timestamp,entry_transaction_type,entry_quantity,entry_price,exit_timestamp,exit_transaction_type,exit_quantity,exit_price,pnl_absolute,pnl_percentage,pnl_cumulative_absolute,pnl_cumulative_percentage,equity_curve,drawdown_percentage,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60
325,636421,953,NSE_FO:BANKNIFTY05MAY2236200CE,04-05-2022 09:20,1,25,284.6,04-05-2022 14:45,0,25,38.25,6158.75,86.56,12918.75,109.44,87918.75,-1.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
326,636365,953,NSE_FO:BANKNIFTY05MAY2236700CE,04-05-2022 09:20,0,25,90.4,04-05-2022 14:45,1,25,16.5,-1847.5,-81.75,11071.25,84.52,86071.25,-3.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
327,636355,953,NSE_FO:BANKNIFTY05MAY2236200PE,04-05-2022 09:20,1,25,224.45,04-05-2022 14:45,0,25,897.9,-16836.25,-300.04,-5765.0,86.99,69235.0,-22.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
328,638156,953,NSE_FO:BANKNIFTY05MAY2235200PE,05-05-2022 09:20,0,25,23.2,05-05-2022 14:02,1,25,29.0,145.0,25.0,-5620.0,95.42,69380.0,-22.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
329,638154,953,NSE_FO:BANKNIFTY05MAY2235700CE,05-05-2022 09:20,1,25,144.35,05-05-2022 14:02,0,25,6.7,3441.25,95.36,-2178.75,102.68,72821.25,-18.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
330,638152,953,NSE_FO:BANKNIFTY05MAY2236200CE,05-05-2022 09:20,0,25,24.35,05-05-2022 14:02,1,25,2.35,-550.0,-90.35,-2728.75,95.23,72271.25,-19.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
331,638150,953,NSE_FO:BANKNIFTY05MAY2235700PE,05-05-2022 09:20,1,25,145.25,05-05-2022 14:02,0,25,346.6,-5033.75,-138.62,-7762.5,95.96,67237.5,-24.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332,652891,953,NSE_FO:BANKNIFTY12MAY2234100PE,06-05-2022 09:20,0,25,294.75,06-05-2022 15:01,1,25,280.95,-345.0,-4.68,-8107.5,95.82,66892.5,-25.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
333,652890,953,NSE_FO:BANKNIFTY12MAY2234600CE,06-05-2022 09:20,1,25,483.6,06-05-2022 15:01,0,25,408.2,1885.0,15.59,-6222.5,97.94,68777.5,-22.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
334,652889,953,NSE_FO:BANKNIFTY12MAY2235100CE,06-05-2022 09:20,0,25,260.0,06-05-2022 15:01,1,25,206.75,-1331.25,-20.48,-7553.75,96.28,67446.25,-24.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
