,id,strategy,instrument_str,entry_timestamp,entry_transaction_type,entry_quantity,entry_price,exit_timestamp,exit_transaction_type,exit_quantity,exit_price,pnl_absolute,pnl_percentage,pnl_cumulative_absolute,pnl_cumulative_percentage,equity_curve,drawdown_percentage,date,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28
59,271928,511,NSE_FO:BANKNIFTY20AUG2022200PE,08-14-2020 11:15,1,25,296.5,14-08-2020 15:30,0,25,431.9,-3385.0,-45.67,35505.0,22.61,192505.0,-1.73,14-08-2020,0,0.0,1,-3385.0,-3385.0,,,,23-09-2020,1.0,2388.75
60,271956,511,NSE_FO:BANKNIFTY20AUG2021600PE,08-17-2020 14:00,1,25,274.85,17-08-2020 15:30,0,25,184.0,2271.25,33.05,37776.25,24.06,194776.25,-0.57,17-08-2020,1,2271.25,0,0.0,-1113.75,,,,24-09-2020,1.0,-2000.0
61,272009,511,NSE_FO:BANKNIFTY20AUG2022400PE,08-19-2020 14:00,1,25,172.75,19-08-2020 14:30,0,25,194.0,-531.25,-12.3,37245.0,23.72,194245.0,-0.84,19-08-2020,0,0.0,1,-531.25,-1645.0,,,,25-09-2020,1.0,5773.75
62,272054,511,NSE_FO:BANKNIFTY20AUG2022300CE,08-19-2020 14:30,1,25,182.95,19-08-2020 15:00,0,25,178.15,120.0,2.62,37365.0,23.8,194365.0,-0.78,19-08-2020,1,120.0,0,0.0,-1525.0,,,,28-09-2020,1.0,-2000.0
63,272065,511,NSE_FO:BANKNIFTY20AUG2022300PE,08-19-2020 15:00,1,25,132.7,19-08-2020 15:30,0,25,135.0,-57.5,-1.73,37307.5,23.76,194307.5,-0.81,19-08-2020,0,0.0,1,-57.5,-1582.5,,,,29-09-2020,3.0,1495.0
64,272069,511,NSE_FO:BANKNIFTY20AUG2022300PE,08-20-2020 09:15,1,25,135.0,20-08-2020 15:30,0,25,215.0,-2000.0,-59.26,35307.5,22.49,192307.5,-1.83,20-08-2020,0,0.0,2,-2057.5,-3582.5,,,,30-09-2020,1.0,525.0
65,272096,511,NSE_FO:BANKNIFTY27AUG2022300CE,08-21-2020 10:00,1,25,286.7,21-08-2020 15:30,0,25,284.35,58.75,0.82,35366.25,22.53,192366.25,-1.8,21-08-2020,1,58.75,0,0.0,-3523.75,,,,01-10-2020,1.0,-2000.0
66,272114,511,NSE_FO:BANKNIFTY27AUG2022800CE,08-24-2020 12:45,1,25,254.0,24-08-2020 15:30,0,25,265.0,-275.0,-4.33,35091.25,22.35,192091.25,-1.94,24-08-2020,0,0.0,1,-275.0,-3798.75,,,,05-10-2020,2.0,4803.75
67,272131,511,NSE_FO:BANKNIFTY27AUG2023100CE,08-25-2020 10:00,1,25,205.35,25-08-2020 14:45,0,25,152.8,1313.75,25.59,36405.0,23.19,193405.0,-1.27,25-08-2020,1,1313.75,0,0.0,-2485.0,,,,06-10-2020,3.0,3345.0
68,272138,511,NSE_FO:BANKNIFTY27AUG2023000PE,08-25-2020 14:45,1,25,197.95,25-08-2020 15:30,0,25,162.0,898.75,18.16,37303.75,23.76,194303.75,-0.81,25-08-2020,2,2212.5,0,0.0,-1586.25,,,,07-10-2020,1.0,-2000.0
69,272158,511,NSE_FO:BANKNIFTY27AUG2023300CE,08-26-2020 10:00,1,25,144.2,26-08-2020 12:45,0,25,127.6,415.0,11.51,37718.75,24.02,194718.75,-0.6,26-08-2020,3,2627.5,0,0.0,-1171.25,,,,08-10-2020,2.0,-2000.0
70,272162,511,NSE_FO:BANKNIFTY27AUG2023200PE,08-26-2020 12:45,1,25,175.4,26-08-2020 14:30,0,25,120.2,1380.0,31.47,39098.75,24.9,196098.75,0.0,26-08-2020,4,4007.5,0,0.0,0.0,,,,09-10-2020,1.0,-2000.0
71,272168,511,NSE_FO:BANKNIFTY27AUG2023300CE,08-26-2020 14:30,1,25,139.9,26-08-2020 15:30,0,25,230.0,-2252.5,-64.4,36846.25,23.47,193846.25,-1.15,26-08-2020,0,0.0,1,-2252.5,-2252.5,,,,12-10-2020,2.0,1146.25
72,272183,511,NSE_FO:BANKNIFTY27AUG2023600CE,08-27-2020 09:45,1,25,97.55,27-08-2020 14:15,0,25,73.2,608.75,24.96,37455.0,23.86,194455.0,-0.84,27-08-2020,1,608.75,0,0.0,-1643.75,,,,13-10-2020,1.0,-371.25
73,272198,511,NSE_FO:BANKNIFTY27AUG2023600PE,08-27-2020 14:15,1,25,24.15,27-08-2020 15:30,0,25,6.9,431.25,71.43,37886.25,24.13,194886.25,-0.62,27-08-2020,2,1040.0,0,0.0,-1212.5,,,,14-10-2020,2.0,-2000.0
74,272212,511,NSE_FO:BANKNIFTY03SEP2023600PE,08-28-2020 09:15,1,25,354.6,28-08-2020 10:00,0,25,206.15,3711.25,41.86,41597.5,26.5,198597.5,0.0,28-08-2020,3,4751.25,0,0.0,0.0,,,,15-10-2020,1.0,-2000.0
75,272255,511,NSE_FO:BANKNIFTY03SEP2023900CE,08-28-2020 10:00,1,25,289.45,28-08-2020 15:30,0,25,517.9,-5711.25,-78.93,35886.25,22.86,192886.25,-2.88,28-08-2020,0,0.0,1,-5711.25,-5711.25,,,,16-10-2020,1.0,1575.0
76,272264,511,NSE_FO:BANKNIFTY03SEP2024800CE,08-31-2020 10:00,1,25,411.0,31-08-2020 12:00,0,25,195.0,5400.0,52.55,41286.25,26.3,198286.25,-0.16,31-08-2020,1,5400.0,0,0.0,-311.25,,,,20-10-2020,3.0,1766.25
77,272287,511,NSE_FO:BANKNIFTY03SEP2024100PE,08-31-2020 12:00,1,25,442.0,31-08-2020 15:30,0,25,685.0,-6075.0,-54.98,35211.25,22.43,192211.25,-3.22,31-08-2020,0,0.0,1,-6075.0,-6386.25,,,,21-10-2020,2.0,8000.0
78,272303,511,NSE_FO:BANKNIFTY03SEP2023800CE,09-01-2020 10:00,1,25,459.05,01-09-2020 15:30,0,25,393.0,1651.25,14.39,36862.5,23.48,193862.5,-2.38,01-09-2020,1,1651.25,0,0.0,-4735.0,,,,22-10-2020,1.0,2177.5
79,272309,511,NSE_FO:BANKNIFTY03SEP2023600PE,09-02-2020 10:45,1,25,268.4,02-09-2020 14:45,0,25,97.5,4272.5,63.67,41135.0,26.2,198135.0,-0.23,02-09-2020,2,5923.75,0,0.0,-462.5,,,,23-10-2020,1.0,2446.25
80,272313,511,NSE_FO:BANKNIFTY03SEP2023800CE,09-02-2020 14:45,1,25,242.45,02-09-2020 15:30,0,25,239.95,62.5,1.03,41197.5,26.24,198197.5,-0.2,02-09-2020,3,5986.25,0,0.0,-400.0,,,,26-10-2020,1.0,-2000.0
81,272315,511,NSE_FO:BANKNIFTY03SEP2023800CE,09-03-2020 09:45,1,25,130.0,03-09-2020 12:00,0,25,42.05,2198.75,67.65,43396.25,27.64,200396.25,0.0,03-09-2020,4,8185.0,0,0.0,0.0,,,,27-10-2020,1.0,-2000.0
82,272340,511,NSE_FO:BANKNIFTY03SEP2023700PE,09-03-2020 12:00,1,25,102.25,03-09-2020 15:30,0,25,168.15,-1647.5,-64.45,41748.75,26.59,198748.75,-0.82,03-09-2020,0,0.0,1,-1647.5,-1647.5,,,,28-10-2020,1.0,1222.5
83,272357,511,NSE_FO:BANKNIFTY10SEP2023600PE,09-04-2020 09:15,1,25,479.0,04-09-2020 12:45,0,25,559.0,-2000.0,-16.7,39748.75,25.32,196748.75,-1.82,04-09-2020,0,0.0,2,-3647.5,-3647.5,,,,29-10-2020,3.0,6617.5
